,heading
998,244.0
999,262.0
1000,65.0
1001,16.0
1002,36.0
1003,64.0
1004,121.0
1005,121.0
1006,126.0
1007,257.0
1008,241.0
1009,214.0
1010,211.0
1011,147.0
1012,268.0
1013,267.0
1014,266.0
1015,231.0
1016,285.0
1017,155.0
1018,298.0
1019,342.0
1020,7.0
1021,315.0
1022,162.0
1023,330.0
1024,349.0
1025,344.0
1026,244.0
1027,316.0
1028,55.0
1029,55.0
1030,34.0
1031,35.0
1032,34.0
1033,34.0
1034,244.0
1035,236.0
1036,237.0
1037,247.0
1038,211.0
1039,218.0
1040,320.0
1041,285.0
1042,167.0
1043,356.0
1044,337.0
1045,3.0
1046,345.0
1047,358.0
1048,84.0
1049,35.0
1050,61.0
1051,58.0
1052,58.0
1053,64.0
1054,2.0
1055,2.0
1056,2.0
1057,2.0
1058,2.0
1059,2.0
1060,2.0
1061,30.0
1062,28.0
1063,24.0
1064,24.0
1065,46.0
1066,48.0
1067,47.0
1068,47.0
1069,46.0
1070,49.0
1071,56.0
1072,20.0
1073,19.0
1074,45.0
1075,239.0
1076,239.0
1077,234.0
1078,177.0
1079,194.0
1080,196.0
1081,195.0
1082,195.0
1083,195.0
1084,195.0
1085,195.0
1086,218.0
1087,218.0
1088,139.0
1089,194.0
1090,226.0
1091,209.0
1092,185.0
1093,238.0
1094,226.0
1095,338.0
1096,213.0
1097,214.0
1098,160.0
1099,243.0
1100,11.0
1101,163.0
1102,280.0
1103,53.0
1104,41.0
1105,41.0
1106,35.0
1107,247.0
1108,212.0
1109,242.0
1110,6.0
1111,254.0
1112,254.0
1113,341.0
1114,302.0
1115,90.0
1116,90.0
1117,321.0
1118,345.0
1119,2.0
1120,255.0
1121,357.0
1122,40.0
1123,36.0
1124,209.0
1125,317.0
1126,213.0
1127,16.0
1128,23.0
1129,160.0
1130,161.0
1131,348.0
1132,319.0
1133,319.0
1134,44.0
1135,44.0
1136,42.0
1137,271.0
1138,91.0
1139,311.0
1140,308.0
1141,251.0
1142,245.0
1143,306.0
1144,346.0
1145,174.0
1146,353.0
1147,30.0
1148,278.0
1149,244.0
1150,244.0
1151,244.0
1152,244.0
1153,326.0
1154,244.0
1155,244.0
1156,34.0
1157,70.0
1158,54.0
1159,244.0
1160,269.0
1161,355.0
1162,343.0
1163,347.0
1164,348.0
1165,243.0
1166,333.0
1167,39.0
1168,69.0
1169,314.0
1170,244.0
1171,247.0
1172,247.0
1173,244.0
1174,320.0
1175,312.0
1176,352.0
1177,64.0
1178,0.0
1179,349.0
1180,244.0
1181,245.0
1182,245.0
1183,0.0
1184,0.0
1185,343.0
1186,42.0
1187,72.0
1188,63.0
1189,63.0
1190,11.0
1191,11.0
1192,15.0
1193,16.0
1194,356.0
1195,26.0
1196,30.0
1197,37.0
1198,46.0
1199,46.0
1200,46.0
1201,21.0
1202,19.0
1203,19.0
1204,16.0
1205,27.0
1206,27.0
1207,27.0
1208,27.0
1209,27.0
1210,27.0
1211,27.0
1212,39.0
1213,34.0
1214,239.0
1215,239.0
1216,239.0
1217,239.0
1218,240.0
1219,240.0
1220,240.0
1221,239.0
1222,240.0
1223,239.0
1224,239.0
1225,239.0
1226,239.0
1227,239.0
1228,239.0
1229,239.0
1230,239.0
1231,283.0
1232,211.0
1233,194.0
1234,194.0
1235,194.0
1236,194.0
1237,196.0
1238,198.0
1239,207.0
1240,209.0
1241,221.0
1242,223.0
1243,213.0
1244,244.0
1245,244.0
1246,243.0
1247,231.0
1248,270.0
1249,263.0
1250,313.0
1251,314.0
1252,250.0
1253,164.0
1254,160.0
1255,160.0
1256,329.0
1257,320.0
1258,320.0
1259,289.0
1260,44.0
1261,343.0
1262,271.0
1263,270.0
1264,270.0
1265,90.0
1266,274.0
1267,10.0
1268,340.0
1269,341.0
1270,340.0
1271,5.0
1272,5.0
1273,271.0
1274,356.0
1275,279.0
1276,269.0
1277,319.0
1278,320.0
1279,319.0
1280,46.0
1281,46.0
1282,38.0
1283,45.0
1284,41.0
1285,150.0
1286,358.0
1287,287.0
1288,297.0
1289,333.0
1290,332.0
1291,4.0
1292,271.0
1293,270.0
1294,270.0
1295,270.0
1296,235.0
1297,235.0
1298,245.0
1299,245.0
1300,245.0
1301,157.0
1302,342.0
1303,342.0
1304,342.0
1305,106.0
1306,350.0
1307,311.0
1308,311.0
1309,261.0
1310,226.0
1311,357.0
1312,22.0
1313,49.0
1314,343.0
1315,342.0
1316,35.0
1317,35.0
1318,247.0
1319,248.0
1320,302.0
1321,298.0
1322,5.0
1323,244.0
1324,347.0
1325,340.0
1326,341.0
1327,33.0
1328,32.0
1329,33.0
1330,68.0
1331,68.0
1332,68.0
1333,68.0
1334,180.0
1335,179.0
1336,180.0
1337,301.0
1338,298.0
1339,341.0
1340,331.0
1341,331.0
1342,331.0
1343,349.0
1344,349.0
1345,335.0
1346,85.0
1347,64.0
1348,70.0
1349,236.0
1350,251.0
1351,212.0
1352,210.0
1353,210.0
1354,321.0
